embedding_a,embedding_b,pair,k,mean_dissimilarity,median_dissimilarity,n_cells
drvi_lineage,scpoli_global,drvi_lineage vs scpoli_global,50,0.9966209427219197,1.0,399605
drvi_lineage,scpoli_global,drvi_lineage vs scpoli_global,100,0.9950115436026814,1.0,399605
drvi_lineage,scpoli_global,drvi_lineage vs scpoli_global,200,0.992659236475217,0.9974937343358397,399605
drvi_lineage,scpoli_lineage,drvi_lineage vs scpoli_lineage,5,0.9950468845921854,1.0,399605
drvi_lineage,scpoli_lineage,drvi_lineage vs scpoli_lineage,10,0.9932011765964024,1.0,399605
drvi_lineage,scpoli_lineage,drvi_lineage vs scpoli_lineage,20,0.9905527174017424,1.0,399605
drvi_lineage,scpoli_lineage,drvi_lineage vs scpoli_lineage,50,0.9853356553563964,0.98989898989899,399605
drvi_lineage,scpoli_lineage,drvi_lineage vs scpoli_lineage,100,0.9795477032776297,0.98989898989899,399605
drvi_lineage,scpoli_lineage,drvi_lineage vs scpoli_lineage,200,0.9716827705177585,0.9847715736040609,399605
drvi_lineage,scvi_global,drvi_lineage vs scvi_global,5,0.9950004101272226,1.0,399605
drvi_lineage,scvi_global,drvi_lineage vs scvi_global,10,0.9936573382009227,1.0,399605
drvi_lineage,scvi_global,drvi_lineage vs scvi_global,20,0.9915759444500524,1.0,399605
drvi_lineage,scvi_global,drvi_lineage vs scvi_global,50,0.9874140070350889,1.0,399605
drvi_lineage,scvi_global,drvi_lineage vs scvi_global,100,0.9828679331449408,0.9949748743718593,399605
drvi_lineage,scvi_global,drvi_lineage vs scvi_global,200,0.9768093311028528,0.98989898989899,399605
drvi_lineage,scvi_lineage,drvi_lineage vs scvi_lineage,5,0.989873780119773,1.0,399605
drvi_lineage,scvi_lineage,drvi_lineage vs scvi_lineage,10,0.9878849110981981,1.0,399605
drvi_lineage,scvi_lineage,drvi_lineage vs scvi_lineage,20,0.9849284483633786,1.0,399605
drvi_lineage,scvi_lineage,drvi_lineage vs scvi_lineage,50,0.9795718676758816,0.98989898989899,399605
drvi_lineage,scvi_lineage,drvi_lineage vs scvi_lineage,100,0.9740343821221108,0.9847715736040609,399605
drvi_lineage,scvi_lineage,drvi_lineage vs scvi_lineage,200,0.9671201665991849,0.9795918367346939,399605
harmony_global,harmony_lineage,harmony_global vs harmony_lineage,5,0.9956077956346974,1.0,399605
harmony_global,harmony_lineage,harmony_global vs harmony_lineage,10,0.9943950586256148,1.0,399605
harmony_global,harmony_lineage,harmony_global vs harmony_lineage,20,0.9925606125590245,1.0,399605
harmony_global,harmony_lineage,harmony_global vs harmony_lineage,50,0.9887934073460635,1.0,399605
harmony_global,harmony_lineage,harmony_global vs harmony_lineage,100,0.9845026467552298,0.98989898989899,399605
harmony_global,harmony_lineage,harmony_global vs harmony_lineage,200,0.978428260717736,0.9873417721518988,399605
harmony_global,scpoli_global,harmony_global vs scpoli_global,5,0.9984129268128468,1.0,399605
harmony_global,scpoli_global,harmony_global vs scpoli_global,10,0.9978733087364143,1.0,399605
