subset	organ	dataset	study	collection_name	doi	cxg_url	collection_id	dataset_id	project_uuid	modalities	reference	donor_column	tech_id	keep_covariates	author_annotation	url	schema
cxg	retina	Retina_snRNA	Li_2023	 Single cell atlas of the human retina	doi.org/10.1101/2023.11.07.566105	https://cellxgene.cziscience.com/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e	4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e	d6505c89-c43d-4c28-8c4f-7351a5fd5528		RNA	GRCh38-GENCODE 32	donor_id	sample_id		author_cell_type	cellxgene	cellxgene
cxg	retina	Retina_scRNA	Li_2023	 Single cell atlas of the human retina	doi.org/10.1101/2023.11.07.566105	https://cellxgene.cziscience.com/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e	4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e	be41a86a-b606-4b1c-8055-32f334898775		RNA	GRCh38-GENCODE 32	donor_id	sample_uuid		author_cell_type	cellxgene	cellxgene
