,harmony_global,harmony_lineage,scvi_global,scvi_lineage,drvi_global,drvi_lineage,scpoli_global,scpoli_lineage,scimilarity
harmony_global,1.0,0.24841150473382415,0.168052114590472,0.10001306826043539,0.22349461426341768,0.1921499633114594,0.1417521831763764,0.0888740027001184,0.13415638159670984
harmony_lineage,0.19067812321793265,1.0,0.13945453875629174,0.11482728375420696,0.17561075795326295,0.17717447355744545,0.10332426438616096,0.0563433485435814,0.11922835602980991
scvi_global,0.19633228272045836,0.20484306567578198,1.0,0.13157004518006707,0.2187450221385568,0.2173799758823928,0.16288781465561278,0.1636213779250239,0.13595038873081144
scvi_lineage,0.12000927986672205,0.18115091148778242,0.16158900549074456,1.0,0.12232858697937676,0.18280799288840172,0.089029961395706,0.15415670335026507,0.07837918613835784
drvi_global,0.19692381277058418,0.1883669149968503,0.20462473372349588,0.11125785622118568,1.0,0.24298121848023155,0.18508720059165168,0.15674899539437986,0.1595783579159685
drvi_lineage,0.17673455373966312,0.20747064089134573,0.18604838223653772,0.16822440016015172,0.22697244270858047,1.0,0.14962618097596186,0.1592502825674364,0.15883406301121278
scpoli_global,0.10031511882046097,0.09356146366996021,0.07971054451908813,0.04653097901715088,0.11527447872102867,0.09374863431367303,1.0,0.05572194906509582,0.07908792907904
scpoli_lineage,0.07725085072186993,0.08777471427937614,0.07705247988362912,0.061034531433926356,0.0651146662697162,0.0992598385277062,0.07224393874790615,1.0,0.05350292010003915
scimilarity,0.10515669400152515,0.0950085136896135,0.10539387841540888,0.07722526357836892,0.10857451812630291,0.09567310514443629,0.09440609436857345,0.08342788043033786,1.0
