Embedding,Isolated labels,KMeans NMI,KMeans ARI,ASW_Label,cLISI,BRAS,iLISI,KBET,Graph_Connectivity,PCR comparison,Batch correction,Bio conservation,Total
X_scGPT,0.51661694,0.009348768083973396,0.011492062491996505,0.48790732,0.46677768,0.68143183,0.08037099,0.493468656938668,0.8924960956865524,0.16336504491859305,0.4622265180185893,0.2984285593032837,0.363947742789406
X_scGPT_finetuned,0.51244587,0.012061274062450776,0.015943392757094384,0.49204162,0.48318946,0.70292896,0.08166644,0.5177531620794498,0.8994889358838957,0.24130098899302152,0.4886276914498061,0.3031363248825073,0.37733287150942685
X_scVI,0.5680492,0.48765512280938095,0.33070278802704334,0.525272,0.99461573,0.9122707,0.09100441,0.5230424081161,0.9646982212041498,0.8394089299157453,0.6660849430514226,0.5812589645385742,0.6151893559437136
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
